,Year,StateAbbr,StateDesc,CityName,GeographicLevel,DataSource,Category,UniqueID,Measure,Data_Value_Unit,DataValueTypeID,Data_Value_Type,Data_Value,Low_Confidence_Limit,High_Confidence_Limit,Data_Value_Footnote_Symbol,Data_Value_Footnote,PopulationCount,GeoLocation,CategoryID,MeasureId,CityFIPS,TractFIPS,Short_Question_Text
14664,2017,MI,Michigan,Ann Arbor,Census Tract,BRFSS,Health Outcomes,2603000-26161400700,Mental health not good for >=14 days among adults aged >=18 Years,%,CrdPrv,Crude prevalence,12.2,10.9,13.5,,,2649,"(42.2859583433, -83.7502893583)",HLTHOUT,MHLTH,2603000.0,26161400700.0,Mental Health
20374,2017,NC,North Carolin,Greensboro,Census Tract,BRFSS,Health Outcomes,3728000-37081011101,Mental health not good for >=14 days among adults aged >=18 Years,%,CrdPrv,Crude prevalence,19.0,17.2,20.8,,,4260,"(36.0682588896, -79.7543290431)",HLTHOUT,MHLTH,3728000.0,37081011101.0,Mental Health
19754,2017,NC,North Carolin,Asheville,Census Tract,BRFSS,Health Outcomes,3702140-37021002203,Mental health not good for >=14 days among adults aged >=18 Years,%,CrdPrv,Crude prevalence,12.4,11.3,13.5,,,1249,"(35.4440672971, -82.5342169332)",HLTHOUT,MHLTH,3702140.0,37021002203.0,Mental Health
17980,2017,NY,New York,New York,Census Tract,BRFSS,Health Outcomes,3651000-36005015300,Mental health not good for >=14 days among adults aged >=18 Years,%,CrdPrv,Crude prevalence,17.2,15.9,18.6,,,4031,"(40.8334460921, -73.8941364062)",HLTHOUT,MHLTH,3651000.0,36005015300.0,Mental Health
831,2017,CA,California,Anaheim,Census Tract,BRFSS,Health Outcomes,0602000-06059087200,Mental health not good for >=14 days among adults aged >=18 Years,%,CrdPrv,Crude prevalence,13.4,12.5,14.3,,,7643,"(33.8357946194, -117.928547693)",HLTHOUT,MHLTH,602000.0,6059087200.0,Mental Health
25056,2017,TX,Texas,Dallas,Census Tract,BRFSS,Health Outcomes,4819000-48113010704,Mental health not good for >=14 days among adults aged >=18 Years,%,CrdPrv,Crude prevalence,18.2,16.4,20.0,,,5378,"(32.7323104262, -96.9087070609)",HLTHOUT,MHLTH,4819000.0,48113010704.0,Mental Health
3526,2017,CA,California,Los Angeles,Census Tract,BRFSS,Health Outcomes,0644000-06037104703,Mental health not good for >=14 days among adults aged >=18 Years,%,CrdPrv,Crude prevalence,17.0,14.8,18.9,,,2397,"(34.2552324771, -118.40059038)",HLTHOUT,MHLTH,644000.0,6037104703.0,Mental Health
5699,2017,CA,California,San Diego,Census Tract,BRFSS,Health Outcomes,0666000-06073003403,Mental health not good for >=14 days among adults aged >=18 Years,%,CrdPrv,Crude prevalence,15.3,13.8,16.8,,,4283,"(32.7136131167, -117.108540958)",HLTHOUT,MHLTH,666000.0,6073003403.0,Mental Health
25883,2017,TX,Texas,Garland,Census Tract,BRFSS,Health Outcomes,4829000-48113019031,Mental health not good for >=14 days among adults aged >=18 Years,%,CrdPrv,Crude prevalence,11.4,10.1,12.8,,,6173,"(32.9736088954, -96.6751585162)",HLTHOUT,MHLTH,4829000.0,48113019031.0,Mental Health
17396,2017,NM,New Mexico,Albuquerque,Census Tract,BRFSS,Health Outcomes,3502000-35001003733,Mental health not good for >=14 days among adults aged >=18 Years,%,CrdPrv,Crude prevalence,20.8,19.4,22.2,,,3585,"(35.1375061036, -106.594138264)",HLTHOUT,MHLTH,3502000.0,35001003733.0,Mental Health
6813,2017,CA,California,Vacaville,Census Tract,BRFSS,Health Outcomes,0681554-06095252912,Mental health not good for >=14 days among adults aged >=18 Years,%,CrdPrv,Crude prevalence,11.5,10.6,12.5,,,5625,"(38.3572484422, -121.9443572)",HLTHOUT,MHLTH,681554.0,6095252912.0,Mental Health
6495,2017,CA,California,Sunnyvale,Census Tract,BRFSS,Health Outcomes,0677000-06085508202,Mental health not good for >=14 days among adults aged >=18 Years,%,CrdPrv,Crude prevalence,7.6,6.9,8.4,,,5336,"(37.3445502647, -122.006740113)",HLTHOUT,MHLTH,677000.0,6085508202.0,Mental Health
11848,2017,IN,Indiana,Gary,Census Tract,BRFSS,Health Outcomes,1827000-18089011100,Mental health not good for >=14 days among adults aged >=18 Years,%,CrdPrv,Crude prevalence,16.9,15.2,18.7,,,4597,"(41.5788594428, -87.3846635604)",HLTHOUT,MHLTH,1827000.0,18089011100.0,Mental Health
6707,2017,CA,California,Santa Rosa,Census Tract,BRFSS,Health Outcomes,0670098-06097153006,Mental health not good for >=14 days among adults aged >=18 Years,%,CrdPrv,Crude prevalence,12.9,12.0,13.8,,,7264,"(38.4432316158, -122.758348069)",HLTHOUT,MHLTH,670098.0,6097153006.0,Mental Health
1088,2017,AR,Arkansas,Little Rock,Census Tract,BRFSS,Health Outcomes,0541000-05119002407,Mental health not good for >=14 days among adults aged >=18 Years,%,CrdPrv,Crude prevalence,11.0,9.8,12.2,,,1823,"(34.7396917025, -92.4009258277)",HLTHOUT,MHLTH,541000.0,5119002407.0,Mental Health
23076,2017,TN,Tennessee,Knoxville,Census Tract,BRFSS,Health Outcomes,4740000-47093001500,Mental health not good for >=14 days among adults aged >=18 Years,%,CrdPrv,Crude prevalence,16.7,15.0,18.5,,,3419,"(35.9914093389, -83.9357455184)",HLTHOUT,MHLTH,4740000.0,47093001500.0,Mental Health
19809,2017,NY,New York,Yonkers,Census Tract,BRFSS,Health Outcomes,3684000-36119001303,Mental health not good for >=14 days among adults aged >=18 Years,%,CrdPrv,Crude prevalence,17.1,15.7,18.5,,,6810,"(40.9145600473, -73.8944077434)",HLTHOUT,MHLTH,3684000.0,36119001303.0,Mental Health
25158,2017,TX,Texas,Dallas,Census Tract,BRFSS,Health Outcomes,4819000-48113012900,Mental health not good for >=14 days among adults aged >=18 Years,%,CrdPrv,Crude prevalence,10.8,9.5,12.1,,,4324,"(32.8505117785, -96.7124174315)",HLTHOUT,MHLTH,4819000.0,48113012900.0,Mental Health
7464,2017,CO,Colorado,Colorado Springs,Census Tract,BRFSS,Health Outcomes,0816000-08041005104,Mental health not good for >=14 days among adults aged >=18 Years,%,CrdPrv,Crude prevalence,12.1,10.5,13.9,,,427,"(38.88513154, -104.647275486)",HLTHOUT,MHLTH,816000.0,8041005104.0,Mental Health
18132,2017,NY,New York,New York,Census Tract,BRFSS,Health Outcomes,3651000-36005002701,Mental health not good for >=14 days among adults aged >=18 Years,%,CrdPrv,Crude prevalence,19.9,18.2,21.7,,,3113,"(40.8050513725, -73.916329263)",HLTHOUT,MHLTH,3651000.0,36005002701.0,Mental Health
302,2017,AL,Alabama,Huntsville,Census Tract,BRFSS,Health Outcomes,0137000-01089001402,Mental health not good for >=14 days among adults aged >=18 Years,%,CrdPrv,Crude prevalence,15.1,13.7,16.6,,,4848,"(34.7230064375, -86.6778493286)",HLTHOUT,MHLTH,137000.0,1089001402.0,Mental Health
11421,2017,IL,Illinois,Chicago,Census Tract,BRFSS,Health Outcomes,1714000-17031480300,Mental health not good for >=14 days among adults aged >=18 Years,%,CrdPrv,Crude prevalence,12.2,10.8,13.8,,,1468,"(41.7291942866, -87.5879725556)",HLTHOUT,MHLTH,1714000.0,17031480300.0,Mental Health
7424,2017,CO,Colorado,Colorado Springs,Census Tract,BRFSS,Health Outcomes,0816000-08041003707,Mental health not good for >=14 days among adults aged >=18 Years,%,CrdPrv,Crude prevalence,10.4,9.2,11.7,,,4242,"(38.9213372724, -104.879143758)",HLTHOUT,MHLTH,816000.0,8041003707.0,Mental Health
16206,2017,NE,Nebraska,Omaha,Census Tract,BRFSS,Health Outcomes,3137000-31055004200,Mental health not good for >=14 days among adults aged >=18 Years,%,CrdPrv,Crude prevalence,14.8,13.3,16.5,,,1718,"(41.2542097767, -95.9638079025)",HLTHOUT,MHLTH,3137000.0,31055004200.0,Mental Health
3326,2017,CA,California,Long Beach,Census Tract,BRFSS,Health Outcomes,0643000-06037571600,Mental health not good for >=14 days among adults aged >=18 Years,%,CrdPrv,Crude prevalence,21.9,20.2,23.6,,,2039,"(33.8498715413, -118.181382743)",HLTHOUT,MHLTH,643000.0,6037571600.0,Mental Health
18779,2017,NY,New York,New York,Census Tract,BRFSS,Health Outcomes,3651000-36047095400,Mental health not good for >=14 days among adults aged >=18 Years,%,CrdPrv,Crude prevalence,13.2,11.7,14.9,,,4607,"(40.6389668844, -73.9146325629)",HLTHOUT,MHLTH,3651000.0,36047095400.0,Mental Health
360,2017,AL,Alabama,Mobile,Census Tract,BRFSS,Health Outcomes,0150000-01097003501,Mental health not good for >=14 days among adults aged >=18 Years,%,CrdPrv,Crude prevalence,12.8,11.3,14.6,,,3664,"(30.7006767613, -88.1612901736)",HLTHOUT,MHLTH,150000.0,1097003501.0,Mental Health
1609,2017,CA,California,Carson,Census Tract,BRFSS,Health Outcomes,0611530-06037541002,Mental health not good for >=14 days among adults aged >=18 Years,%,CrdPrv,Crude prevalence,12.3,11.5,13.2,,,3209,"(33.8759647648, -118.274061994)",HLTHOUT,MHLTH,611530.0,6037541002.0,Mental Health
3278,2017,AZ,Arizona,Glendale,Census Tract,BRFSS,Health Outcomes,0427820-04013618000,Mental health not good for >=14 days among adults aged >=18 Years,%,CrdPrv,Crude prevalence,13.0,11.6,14.4,,,4555,"(33.6466423798, -112.177881954)",HLTHOUT,MHLTH,427820.0,4013618000.0,Mental Health
6323,2017,CA,California,San Ramon,Census Tract,BRFSS,Health Outcomes,0668378-06013345115,Mental health not good for >=14 days among adults aged >=18 Years,%,CrdPrv,Crude prevalence,9.1,8.0,10.2,,,4778,"(37.7434689431, -121.961183977)",HLTHOUT,MHLTH,668378.0,6013345115.0,Mental Health
5815,2017,CA,California,Sacramento,Census Tract,BRFSS,Health Outcomes,0664000-06067004903,Mental health not good for >=14 days among adults aged >=18 Years,%,CrdPrv,Crude prevalence,17.0,16.0,18.0,,,6740,"(38.4886485982, -121.462178935)",HLTHOUT,MHLTH,664000.0,6067004903.0,Mental Health
10224,2017,HI,Hawaii,Honolulu,Census Tract,BRFSS,Health Outcomes,15003010201,Mental health not good for >=14 days among adults aged >=18 Years,%,CrdPrv,Crude prevalence,13.5,12.9,14.1,,,5882,"(21.5545206319, -157.894106764)",HLTHOUT,MHLTH,15003.0,15003010201.0,Mental Health
14753,2017,MA,Massachusetts,Springfield,City,BRFSS,Health Outcomes,2567000,Mental health not good for >=14 days among adults aged >=18 Years,%,CrdPrv,Crude prevalence,17.7,17.5,18.0,,,153060,"(42.1154977999, -72.5395254143)",HLTHOUT,MHLTH,2567000.0,,Mental Health
9828,2017,FL,Florida,St. Petersburg,Census Tract,BRFSS,Health Outcomes,1263000-12103023800,Mental health not good for >=14 days among adults aged >=18 Years,%,CrdPrv,Crude prevalence,11.2,9.7,12.9,,,2332,"(27.7956024277, -82.6388271841)",HLTHOUT,MHLTH,1263000.0,12103023800.0,Mental Health
21111,2017,NC,North Carolin,Winston-Salem,Census Tract,BRFSS,Health Outcomes,3775000-37067000801,Mental health not good for >=14 days among adults aged >=18 Years,%,CrdPrv,Crude prevalence,26.1,22.8,31.7,,,3062,"(36.0858052822, -80.2277629798)",HLTHOUT,MHLTH,3775000.0,37067000801.0,Mental Health
13917,2017,MD,Maryland,Baltimore,Census Tract,BRFSS,Health Outcomes,2404000-24510250500,Mental health not good for >=14 days among adults aged >=18 Years,%,CrdPrv,Crude prevalence,20.4,19.3,21.4,,,5468,"(39.2153588401, -76.5669808693)",HLTHOUT,MHLTH,2404000.0,24510250500.0,Mental Health
28059,2017,VA,Virginia,Virginia Beach,Census Tract,BRFSS,Health Outcomes,5182000-51810046206,Mental health not good for >=14 days among adults aged >=18 Years,%,CrdPrv,Crude prevalence,10.4,9.6,11.2,,,5185,"(36.8082259255, -76.1805021129)",HLTHOUT,MHLTH,5182000.0,51810046206.0,Mental Health
11539,2017,IL,Illinois,Chicago,Census Tract,BRFSS,Health Outcomes,1714000-17031611600,Mental health not good for >=14 days among adults aged >=18 Years,%,CrdPrv,Crude prevalence,15.8,14.7,16.9,,,1609,"(41.7975955627, -87.6767426576)",HLTHOUT,MHLTH,1714000.0,17031611600.0,Mental Health
11195,2017,IL,Illinois,Joliet,Census Tract,BRFSS,Health Outcomes,1738570-17197881603,Mental health not good for >=14 days among adults aged >=18 Years,%,CrdPrv,Crude prevalence,16.2,15.1,17.3,,,3301,"(41.5405415324, -88.133133385)",HLTHOUT,MHLTH,1738570.0,17197881603.0,Mental Health
22583,2017,PA,Pennsylvania,Philadelphia,Census Tract,BRFSS,Health Outcomes,4260000-42101004002,Mental health not good for >=14 days among adults aged >=18 Years,%,CrdPrv,Crude prevalence,14.1,12.5,15.8,,,4998,"(39.918894334, -75.1674160231)",HLTHOUT,MHLTH,4260000.0,42101004002.0,Mental Health
12687,2017,IA,Iowa,Cedar Rapids,Census Tract,BRFSS,Health Outcomes,1912000-19113000100,Mental health not good for >=14 days among adults aged >=18 Years,%,CrdPrv,Crude prevalence,,,,*,Estimates suppressed for population less than 50,7,"(41.9626676004, -91.5898415951)",HLTHOUT,MHLTH,1912000.0,19113000100.0,Mental Health
26550,2017,WA,Washington,Tacoma,Census Tract,BRFSS,Health Outcomes,5370000-53053060700,Mental health not good for >=14 days among adults aged >=18 Years,%,CrdPrv,Crude prevalence,14.3,12.5,16.3,,,6523,"(47.2613730687, -122.478526664)",HLTHOUT,MHLTH,5370000.0,53053060700.0,Mental Health
842,2017,AZ,Arizona,Surprise,Census Tract,BRFSS,Health Outcomes,0471510-04013040529,Mental health not good for >=14 days among adults aged >=18 Years,%,CrdPrv,Crude prevalence,7.0,5.7,8.3,,,3222,"(33.6640394275, -112.393407806)",HLTHOUT,MHLTH,471510.0,4013040529.0,Mental Health
27019,2017,TX,Texas,San Angelo,Census Tract,BRFSS,Health Outcomes,4864472-48451001500,Mental health not good for >=14 days among adults aged >=18 Years,%,CrdPrv,Crude prevalence,15.0,12.5,16.3,,,2249,"(31.4318095755, -100.404564069)",HLTHOUT,MHLTH,4864472.0,48451001500.0,Mental Health
6394,2017,CA,California,San Francisco,Census Tract,BRFSS,Health Outcomes,0667000-06075026002,Mental health not good for >=14 days among adults aged >=18 Years,%,CrdPrv,Crude prevalence,9.1,8.3,9.9,,,3544,"(37.7261196679, -122.426282378)",HLTHOUT,MHLTH,667000.0,6075026002.0,Mental Health
21501,2017,OH,Ohio,Toledo,Census Tract,BRFSS,Health Outcomes,3977000-39095008500,Mental health not good for >=14 days among adults aged >=18 Years,%,CrdPrv,Crude prevalence,14.9,13.5,16.3,,,3899,"(41.6606743513, -83.6793728552)",HLTHOUT,MHLTH,3977000.0,39095008500.0,Mental Health
6361,2017,CA,California,San Ramon,Census Tract,BRFSS,Health Outcomes,0668378-06013355114,Mental health not good for >=14 days among adults aged >=18 Years,%,CrdPrv,Crude prevalence,8.0,7.2,9.0,,,4189,"(37.7809222123, -121.912681543)",HLTHOUT,MHLTH,668378.0,6013355114.0,Mental Health
7538,2017,CO,Colorado,Colorado Springs,Census Tract,BRFSS,Health Outcomes,0816000-08041004703,Mental health not good for >=14 days among adults aged >=18 Years,%,CrdPrv,Crude prevalence,11.0,9.9,12.2,,,6182,"(38.9205830298, -104.763445357)",HLTHOUT,MHLTH,816000.0,8041004703.0,Mental Health
27617,2017,VA,Virginia,Hampton,Census Tract,BRFSS,Health Outcomes,5135000-51650010310,Mental health not good for >=14 days among adults aged >=18 Years,%,CrdPrv,Crude prevalence,12.0,11.0,12.9,,,4310,"(37.0350363674, -76.425651422)",HLTHOUT,MHLTH,5135000.0,51650010310.0,Mental Health
